"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Alex DeBrincat","RW","ER","18.746","63","47","24","12","71","83","232","20.26","0.75","0.38","0.19","1.13","1.32","3.68","1117.02","17.73","2.52","1.29","0.64","3.81","4.46","12.46","15.82","13.74","66.38","49.2","12.11","70.0","98","42","7","17","41.18","12","44","27.27","28","171","16.37","141","262","53.82"
"","Taylor Raddysh","RW","ER","18.577","58","27","30","20","57","77","159","16.98","0.47","0.52","0.34","0.98","1.33","2.74","1005.91","17.34","1.61","1.79","1.19","3.4","4.59","9.48","15.97","13.71","65.91","48.71","15.72","73.64","95","34","6","26","23.08","11","28","39.29","10","105","9.52","2","4","50.0"
"","Ryan Moore","LW","FLNT","19.439","68","31","25","11","56","67","192","16.15","0.46","0.37","0.16","0.82","0.99","2.82","1204.91","17.72","1.54","1.24","0.55","2.79","3.34","9.56","14.73","13.97","51.68","50.77","14.69","58.22","85","61","3","14","21.43","14","34","41.18","14","144","9.72","475","955","49.74"
"","Kole Sherwood","RW","FLNT","19.65","60","27","22","15","49","64","202","13.37","0.45","0.37","0.25","0.82","1.07","3.37","1008.01","16.8","1.61","1.31","0.89","2.92","3.81","12.02","15.29","14.02","52.24","51.58","16.52","60.16","74","49","4","15","26.67","14","37","37.84","9","150","6.0","13","24","54.17"
"","Artur Tyanulin","RW","OTT","19.655","67","17","31","7","48","55","130","13.08","0.25","0.46","0.1","0.72","0.82","1.94","1061.43","15.84","0.96","1.75","0.4","2.71","3.11","7.35","13.87","13.8","48.79","49.64","11.97","54.33","69","58","5","22","22.73","8","39","20.51","4","69","5.8","1","3","33.33"
"","Owen Tippett","RW","MISS","17.583","60","32","13","6","45","51","207","15.46","0.53","0.22","0.1","0.75","0.85","3.45","955.48","15.92","2.01","0.82","0.38","2.83","3.2","13.0","14.82","13.47","56.25","48.9","17.42","64.76","68","37","9","16","56.25","7","27","25.93","16","164","9.76","8","25","32.0"
"","Zachary Senyshyn","RW","SSM","19.467","59","34","10","5","44","49","199","17.09","0.58","0.17","0.08","0.75","0.83","3.37","881.12","14.93","2.32","0.68","0.34","3.0","3.34","13.55","14.56","13.66","55.79","48.09","4.1","58.65","61","43","10","38","26.32","12","47","25.53","12","114","10.53","3","11","27.27"
"","Jordan Kyrou","RW","SAR","18.369","66","20","22","15","42","57","146","13.7","0.3","0.33","0.23","0.64","0.86","2.21","962.2","14.58","1.25","1.37","0.94","2.62","3.55","9.1","13.75","14.02","49.31","51.57","14.42","58.2","71","51","6","21","28.57","5","29","17.24","9","96","9.38","88","199","44.22"
"","Nick Suzuki","C","OS","17.104","65","22","20","13","42","55","186","11.83","0.34","0.31","0.2","0.65","0.85","2.86","990.36","15.24","1.33","1.21","0.79","2.54","3.33","11.27","15.11","13.78","63.27","49.55","15.06","72.28","73","28","5","22","22.73","5","29","17.24","12","135","8.89","254","482","52.7"
"","Kevin Hancock","LW","OS","18.544","68","18","23","13","41","54","154","11.69","0.26","0.34","0.19","0.6","0.79","2.26","1066.68","15.69","1.01","1.29","0.73","2.31","3.04","8.66","15.05","13.92","64.07","50.21","6.18","65.77","73","38","3","12","25.0","3","30","10.0","12","112","10.71","271","536","50.56"
"","Petrus Palmu","RW","OS","19.171","62","20","21","10","41","51","168","11.9","0.32","0.34","0.16","0.66","0.82","2.71","922.57","14.88","1.3","1.37","0.65","2.67","3.32","10.93","14.32","13.68","61.32","49.36","9.84","66.67","62","31","5","17","29.41","2","16","12.5","13","135","9.63","16","26","61.54"
"","Jason Robertson","RW","KGN","17.156","68","29","12","7","41","48","217","13.36","0.43","0.18","0.1","0.6","0.71","3.19","1213.18","17.84","1.43","0.59","0.35","2.03","2.37","10.73","15.27","13.86","49.12","48.62","13.3","52.88","55","49","2","18","11.11","13","54","24.07","14","145","9.66","1","3","33.33"
"","Michael McLeod","C","MISS","18.618","57","21","18","15","39","54","128","16.41","0.37","0.32","0.26","0.68","0.95","2.25","1025.18","17.99","1.23","1.05","0.88","2.28","3.16","7.49","14.5","13.51","57.05","48.63","12.84","62.5","75","45","11","24","45.83","8","26","30.77","2","78","2.56","552","916","60.26"
"","Hayden Hodgson","RW","SAG","20.543","67","23","16","9","39","48","188","12.23","0.34","0.24","0.13","0.58","0.72","2.81","1088.27","16.24","1.27","0.88","0.5","2.15","2.65","10.37","14.64","13.85","49.51","50.89","9.84","53.39","63","55","5","21","23.81","7","27","25.93","11","140","7.86","11","25","44.0"
